drainage_area,slope,log_area,log_slope
36.074982,0.614917,3.585600,-0.486267
35.885563,0.615349,3.580335,-0.485566
35.644176,0.615842,3.573586,-0.484766
35.359531,0.616388,3.565568,-0.483878
35.038277,0.616982,3.556441,-0.482915
34.686081,0.617618,3.546338,-0.481886
34.308372,0.618289,3.535389,-0.480799
33.910641,0.618992,3.523729,-0.479663
33.497932,0.619721,3.511484,-0.478485
33.074650,0.620474,3.498767,-0.477271
32.644299,0.621247,3.485670,-0.476026
32.209255,0.622038,3.472254,-0.474755
31.770748,0.622844,3.458546,-0.473460
31.330395,0.623663,3.444589,-0.472145
30.892273,0.624494,3.430506,-0.470813
30.462242,0.625332,3.416488,-0.469472
30.043327,0.626175,3.402641,-0.468125
29.633091,0.627023,3.388892,-0.466772
29.226067,0.627879,3.375061,-0.465408
28.819769,0.628742,3.361062,-0.464034
28.417042,0.629610,3.346989,-0.462654
28.022457,0.630480,3.333006,-0.461274
27.637671,0.631349,3.319180,-0.459897
27.260086,0.632217,3.305424,-0.458523
26.885910,0.633086,3.291602,-0.457150
26.512218,0.633956,3.277606,-0.455776
26.137138,0.634826,3.263357,-0.454404
25.758507,0.635697,3.248765,-0.453034
25.373482,0.636566,3.233705,-0.451667
24.979668,0.637432,3.218062,-0.450308
24.576422,0.638291,3.201788,-0.448961
24.165470,0.639137,3.184925,-0.447636
23.750980,0.639963,3.167624,-0.446345
23.338936,0.640760,3.150123,-0.445100
22.936186,0.641521,3.132716,-0.443914
22.550709,0.642236,3.115766,-0.442800
22.191044,0.642896,3.099689,-0.441772
21.864756,0.643493,3.084876,-0.440843
21.577641,0.644021,3.071658,-0.440024
21.333071,0.644472,3.060258,-0.439324
21.131554,0.644843,3.050767,-0.438748
20.970297,0.645131,3.043107,-0.438301
20.841904,0.645336,3.036966,-0.437984
20.732361,0.645462,3.031696,-0.437790
20.619762,0.645516,3.026250,-0.437705
20.474691,0.645515,3.019190,-0.437707
20.263077,0.645477,3.008800,-0.437766
19.948389,0.645428,2.993148,-0.437841
19.490698,0.645396,2.969937,-0.437892
18.842258,0.645411,2.936102,-0.437867
17.951696,0.645513,2.887685,-0.437710
16.790075,0.645743,2.820788,-0.437353
15.392247,0.646140,2.733864,-0.436739
13.872447,0.646714,2.629905,-0.435851
12.378207,0.647438,2.515937,-0.434732
11.010992,0.648269,2.398894,-0.433450
9.787735,0.649192,2.281130,-0.432027
8.670044,0.650235,2.159874,-0.430421
8.281034,0.690808,2.113968,-0.369893
10.059677,0.688740,2.308535,-0.372891
12.471079,0.686324,2.523412,-0.376405
15.674503,0.683657,2.752035,-0.380299
19.646664,0.680977,2.977908,-0.384227
24.123755,0.678641,3.183197,-0.387664
28.636042,0.677013,3.354666,-0.390065
32.641262,0.676316,3.485577,-0.391095
35.713551,0.676552,3.575530,-0.390746
37.683529,0.677551,3.629223,-0.389270
38.644444,0.679085,3.654403,-0.387009
38.848045,0.680949,3.659658,-0.384267
38.572865,0.683004,3.652549,-0.381254
38.036983,0.685165,3.638559,-0.378096
37.372990,0.687389,3.620948,-0.374855
36.647621,0.689659,3.601349,-0.371558
35.893208,0.691964,3.580548,-0.368222
35.131275,0.694291,3.559092,-0.364864
34.381855,0.696626,3.537529,-0.361506
33.664089,0.698952,3.516432,-0.358174
32.991650,0.701254,3.496254,-0.354885
32.368515,0.703525,3.477186,-0.351652
31.788353,0.705763,3.459100,-0.348475
31.239456,0.707972,3.441682,-0.345350
30.711414,0.710154,3.424634,-0.342274
30.198994,0.712306,3.407809,-0.339248
29.701843,0.714421,3.391209,-0.336282
29.222630,0.716492,3.374943,-0.333389
28.764236,0.718507,3.359133,-0.330580
28.328955,0.720457,3.343884,-0.327869
27.918480,0.722333,3.329289,-0.325269
27.534107,0.724125,3.315425,-0.322791
27.177065,0.725825,3.302373,-0.320447
26.848579,0.727424,3.290213,-0.318246
26.550117,0.728914,3.279034,-0.316199
26.283411,0.730288,3.268938,-0.314316
26.050381,0.731537,3.260032,-0.312608
25.852890,0.732654,3.252422,-0.311082
25.693125,0.733632,3.246223,-0.309748
25.573103,0.734466,3.241541,-0.308611
25.494930,0.735152,3.238480,-0.307678
25.460464,0.735686,3.237127,-0.306952
25.471209,0.736065,3.237549,-0.306436
25.528511,0.736288,3.239796,-0.306134
25.633390,0.736355,3.243896,-0.306043
25.786514,0.736267,3.249852,-0.306163
25.987915,0.736027,3.257632,-0.306488
26.237709,0.735641,3.267198,-0.307014
26.535975,0.735112,3.278501,-0.307732
26.882086,0.734450,3.291460,-0.308633
27.274481,0.733665,3.305951,-0.309703
27.710510,0.732766,3.321812,-0.310929
28.186041,0.731767,3.338827,-0.312294
28.695585,0.730677,3.356743,-0.313784
29.233105,0.729511,3.375302,-0.315381
29.793438,0.728279,3.394288,-0.317071
30.372999,0.726993,3.413554,-0.318838
30.971615,0.725660,3.433071,-0.320674
31.591887,0.724287,3.452900,-0.322568
32.238270,0.722878,3.473154,-0.324515
32.917358,0.721437,3.494000,-0.326511
33.638153,0.719965,3.515661,-0.328553
34.411572,0.718462,3.538393,-0.330642
35.247913,0.716929,3.562406,-0.332778
36.154804,0.715370,3.587810,-0.334955
37.140228,0.713788,3.614701,-0.337170
38.216301,0.712190,3.643262,-0.339411
39.405861,0.710590,3.673915,-0.341660
40.741493,0.709014,3.707247,-0.343881
42.246670,0.707511,3.743526,-0.346002
43.885162,0.706180,3.781576,-0.347884
45.485100,0.705185,3.817385,-0.349295
46.691986,0.704750,3.843573,-0.349912
47.048767,0.705110,3.851185,-0.349402
46.247860,0.706404,3.834015,-0.347568
44.381470,0.708582,3.792822,-0.344490
41.921242,0.711391,3.735793,-0.340533
39.430199,0.714483,3.674532,-0.336196
37.291813,0.717539,3.618774,-0.331927
35.636189,0.720353,3.573362,-0.328014
34.413811,0.722844,3.538458,-0.324562
33.504349,0.725017,3.511675,-0.321561
32.792187,0.726916,3.490190,-0.318944
32.198975,0.728589,3.471935,-0.316645
31.684490,0.730070,3.455827,-0.314615
31.232901,0.731380,3.441472,-0.312822
30.838261,0.732533,3.428756,-0.311246
30.496544,0.733540,3.417613,-0.309873
30.204437,0.734408,3.407989,-0.308690
29.958946,0.735144,3.399828,-0.307689
29.757576,0.735751,3.393084,-0.306864
29.598343,0.736233,3.387718,-0.306209
29.480179,0.736590,3.383718,-0.305724
29.402935,0.736822,3.381095,-0.305409
29.366772,0.736928,3.379864,-0.305265
29.372204,0.736905,3.380049,-0.305296
29.419968,0.736752,3.381674,-0.305505
29.510950,0.736466,3.384761,-0.305893
29.646433,0.736047,3.389342,-0.306461
29.828150,0.735498,3.395453,-0.307208
30.058126,0.734820,3.403133,-0.308130
30.337803,0.734022,3.412395,-0.309216
30.667824,0.733119,3.423214,-0.310447
31.047775,0.732129,3.435527,-0.311799
31.475027,0.731079,3.449194,-0.313234
31.942944,0.730006,3.463951,-0.314703
32.440132,0.728952,3.479396,-0.316147
32.950188,0.727967,3.494997,-0.317499
33.451824,0.727103,3.510106,-0.318687
33.922344,0.726408,3.524074,-0.319643
34.340656,0.725925,3.536330,-0.320309
34.690205,0.725684,3.546457,-0.320641
34.960445,0.725704,3.554217,-0.320613
35.146469,0.725993,3.559524,-0.320215
35.247509,0.726551,3.562395,-0.319447
35.266754,0.727368,3.562941,-0.318322
35.209396,0.728431,3.561313,-0.316862
35.081043,0.729723,3.557661,-0.315090
34.890537,0.731222,3.552216,-0.313038
34.648247,0.732906,3.545247,-0.310738
34.363071,0.734750,3.536982,-0.308224
34.041359,0.736739,3.527576,-0.305522
33.688709,0.738853,3.517163,-0.302657
33.310421,0.741078,3.505870,-0.299650
32.912197,0.743400,3.493843,-0.296521
32.499016,0.745807,3.481210,-0.293289
32.075378,0.748288,3.468089,-0.289968
31.644825,0.750833,3.454575,-0.286571
31.209734,0.753437,3.440730,-0.283110
30.771183,0.756093,3.426579,-0.279591
30.330288,0.758795,3.412147,-0.276023
29.891279,0.761536,3.397567,-0.272417
29.460733,0.764306,3.383058,-0.268787
29.042292,0.767096,3.368753,-0.265143
28.633038,0.769908,3.354561,-0.261484
28.226494,0.772747,3.340261,-0.257803
27.819748,0.775614,3.325746,-0.254101
27.416267,0.778498,3.311137,-0.250389
27.021481,0.781389,3.296632,-0.246682
26.637169,0.784280,3.282308,-0.242989
26.260212,0.787171,3.268055,-0.239309
25.886496,0.790065,3.253721,-0.235640
25.513098,0.792962,3.239192,-0.231980
25.138390,0.795858,3.224396,-0.228334
24.760311,0.798750,3.209242,-0.224707
24.375814,0.801633,3.193591,-0.221104
23.982279,0.804499,3.177315,-0.217535
23.578964,0.807334,3.160355,-0.214017
23.167555,0.810119,3.142753,-0.210574
22.752314,0.812831,3.124667,-0.207232
22.339373,0.815442,3.106351,-0.204025
21.935520,0.817928,3.088107,-0.200981
21.548777,0.820261,3.070319,-0.198133
21.188002,0.822413,3.053435,-0.195513
20.860847,0.824358,3.037874,-0.193150
20.573242,0.826073,3.023991,-0.191072
20.328609,0.827540,3.012029,-0.189298
20.127514,0.828744,3.002088,-0.187844
19.967382,0.829673,2.994100,-0.186723
19.841118,0.830325,2.987756,-0.185938
19.734924,0.830706,2.982390,-0.185479
19.626818,0.830836,2.976897,-0.185322
19.486877,0.830755,2.969741,-0.185421
19.280516,0.830517,2.959095,-0.185707
18.971462,0.830191,2.942936,-0.186099
18.520830,0.829858,2.918896,-0.186501
17.880722,0.829606,2.883723,-0.186804
16.995476,0.829543,2.832947,-0.186880
15.828345,0.829794,2.761802,-0.186578
14.410692,0.830486,2.667970,-0.185744
12.865209,0.831690,2.554527,-0.184296
11.354306,0.833367,2.429597,-0.182282
9.985803,0.835423,2.301164,-0.179818
8.770275,0.837849,2.171368,-0.176917
8.970723,0.857916,2.193966,-0.153249
11.358402,0.853523,2.429958,-0.158383
14.565885,0.848615,2.678682,-0.164149
18.572577,0.843694,2.921686,-0.169966
23.105371,0.839528,3.140065,-0.174915
27.680687,0.836900,3.320735,-0.178050
31.739452,0.836264,3.457560,-0.178810
34.839401,0.837590,3.550749,-0.177227
36.805470,0.840484,3.605646,-0.173777
37.739578,0.844451,3.630709,-0.169069
37.909615,0.849069,3.635205,-0.163614
37.607189,0.854058,3.627195,-0.157756
37.054867,0.859258,3.612400,-0.151686
36.382957,0.864593,3.594100,-0.145496
35.654079,0.870028,3.573864,-0.139229
34.897469,0.875544,3.552414,-0.132910
34.133324,0.881114,3.530274,-0.126568
33.381672,0.886707,3.508007,-0.120241
32.662106,0.892286,3.486216,-0.113969
31.989143,0.897818,3.465397,-0.107788
31.366833,0.903283,3.445751,-0.101719
30.788261,0.908679,3.427133,-0.095764
30.240784,0.914008,3.409191,-0.089916
29.713497,0.919273,3.391601,-0.084172
29.201225,0.924468,3.374211,-0.078537
28.703848,0.929576,3.357031,-0.073027
28.224445,0.934574,3.340188,-0.067665
27.765923,0.939439,3.323809,-0.062472
27.330564,0.944148,3.308006,-0.057473
26.920073,0.948675,3.292872,-0.052689
26.535610,0.953000,3.278488,-0.048140
26.178482,0.957102,3.264938,-0.043846
25.849874,0.960959,3.252306,-0.039823
25.551210,0.964552,3.240685,-0.036091
25.284283,0.967861,3.230183,-0.032667
25.051014,0.970866,3.220914,-0.029566
24.853247,0.973553,3.212988,-0.026803
24.693159,0.975903,3.206526,-0.024392
24.572865,0.977904,3.201643,-0.022344
24.494377,0.979545,3.198444,-0.020667
24.459711,0.980815,3.197027,-0.019371
24.470249,0.981711,3.197458,-0.018458
24.527376,0.982229,3.199790,-0.017931
24.632143,0.982369,3.204052,-0.017788
24.785225,0.982135,3.210248,-0.018026
24.986567,0.981535,3.218338,-0.018638
25.236261,0.980579,3.228282,-0.019612
25.534489,0.979282,3.240030,-0.020936
25.880650,0.977661,3.253496,-0.022592
26.273205,0.975742,3.268550,-0.024557
26.709644,0.973550,3.285025,-0.026806
27.185806,0.971113,3.302695,-0.029312
27.696016,0.968461,3.321289,-0.032048
28.234087,0.965622,3.340530,-0.034982
28.794693,0.962626,3.360191,-0.038090
29.374084,0.959499,3.380113,-0.041344
29.972071,0.956262,3.400266,-0.044723
30.591591,0.952930,3.420725,-0.048213
31.236938,0.949519,3.441601,-0.051800
31.914724,0.946036,3.463067,-0.055475
32.633907,0.942489,3.485352,-0.059231
33.405880,0.938882,3.508732,-0.063066
34.241226,0.935217,3.533430,-0.066976
35.147175,0.931506,3.559544,-0.070953
36.130775,0.927759,3.587145,-0.074983
37.202782,0.924000,3.616384,-0.079043
38.385365,0.920265,3.647676,-0.083094
39.712624,0.916615,3.681669,-0.087067
41.213646,0.913171,3.718769,-0.090832
42.863255,0.910144,3.758015,-0.094152
44.499146,0.907890,3.795470,-0.096632
45.761608,0.906893,3.823445,-0.097731
46.162701,0.907658,3.832172,-0.096888
45.358200,0.910495,3.814591,-0.093767
43.439857,0.915300,3.771377,-0.088504
40.916534,0.921532,3.711534,-0.081718
38.385750,0.928430,3.647686,-0.074260
36.238605,0.935293,3.590125,-0.066895
34.594143,0.941663,3.543684,-0.060107
33.388847,0.947354,3.508222,-0.054083
32.493690,0.952368,3.481046,-0.048804
31.789852,0.956799,3.459147,-0.044162
31.199846,0.960746,3.440413,-0.040045
30.685577,0.964283,3.423793,-0.036371
30.233536,0.967451,3.408952,-0.033091
29.838511,0.970281,3.395800,-0.030170
29.496571,0.972794,3.384274,-0.027583
29.204355,0.975008,3.374318,-0.025309
28.958828,0.976934,3.365875,-0.023336
28.757429,0.978579,3.358896,-0.021653
28.598183,0.979949,3.353343,-0.020254
28.479954,0.981045,3.349200,-0.019137
28.402683,0.981862,3.346484,-0.018305
28.366493,0.982396,3.345209,-0.017761
28.371878,0.982641,3.345398,-0.017511
28.419651,0.982590,3.347081,-0.017563
28.510500,0.982241,3.350272,-0.017919
28.645733,0.981588,3.355004,-0.018584
28.827110,0.980634,3.361316,-0.019556
29.056591,0.979388,3.369245,-0.020828
29.335697,0.977866,3.378805,-0.022383
29.664970,0.976099,3.389967,-0.024191
30.044067,0.974133,3.402665,-0.026208
30.470613,0.972027,3.416763,-0.028372
30.938093,0.969864,3.431988,-0.030600
31.435127,0.967744,3.447926,-0.032788
31.945541,0.965776,3.464033,-0.034823
32.447765,0.964081,3.479632,-0.036580
32.918854,0.962771,3.494046,-0.037940
33.337570,0.961941,3.506685,-0.038803
33.687244,0.961661,3.517119,-0.039093
33.957573,0.961976,3.525112,-0.038766
34.143593,0.962906,3.530575,-0.037800
34.244698,0.964449,3.533532,-0.036199
34.264149,0.966586,3.534100,-0.033985
34.207310,0.969288,3.532439,-0.031194
34.079193,0.972516,3.528687,-0.027869
33.888741,0.976223,3.523083,-0.024064
33.646767,0.980356,3.515917,-0.019839
33.362114,0.984866,3.507421,-0.015249
33.040878,0.989710,3.497746,-0.010344
32.688606,0.994849,3.487027,-0.005164
32.310448,1.000251,3.475391,0.000251
31.912367,1.005883,3.462994,0.005866
31.499235,1.011719,3.449963,0.011651
31.075687,1.017732,3.436426,0.017577
30.645248,1.023903,3.422478,0.023622
30.210430,1.030215,3.408187,0.029767
29.772167,1.036653,3.393574,0.035997
29.331020,1.043207,3.378646,0.042300
28.891336,1.049858,3.363542,0.048655
28.460369,1.056581,3.348513,0.055039
28.042435,1.063356,3.333719,0.061430
27.634163,1.070186,3.319053,0.067833
27.228193,1.077082,3.304253,0.074256
26.821171,1.084044,3.289192,0.080699
26.417068,1.091053,3.274010,0.087144
26.022190,1.098077,3.258950,0.093561
25.638374,1.105100,3.244090,0.099936
25.262028,1.112122,3.229302,0.106270
24.888733,1.119148,3.214415,0.112568
24.515627,1.126177,3.199311,0.118828
24.141375,1.133200,3.183927,0.125045
23.763962,1.140208,3.168170,0.131210
23.380234,1.147188,3.151891,0.137313
22.987278,1.154122,3.134941,0.143340
22.584280,1.160976,3.117254,0.149261
22.172836,1.167706,3.098868,0.155041
21.757236,1.174254,3.079946,0.160633
21.343777,1.180558,3.060760,0.165987
20.939131,1.186555,3.041620,0.171054
20.551390,1.192181,3.022929,0.175784
20.189695,1.197366,3.005172,0.180124
19.861824,1.202049,2.988799,0.184028
19.573782,1.206174,2.974191,0.187453
19.329123,1.209695,2.961613,0.190368
19.128422,1.212577,2.951175,0.192747
18.969276,1.214794,2.942821,0.194574
18.844910,1.216334,2.936243,0.195841
18.741686,1.217213,2.930750,0.196564
18.637493,1.217482,2.925175,0.196785
18.501829,1.217232,2.917870,0.196580
18.299496,1.216598,2.906874,0.196058
17.994499,1.215744,2.890066,0.195356
17.549377,1.214859,2.865018,0.194628
16.916769,1.214157,2.828305,0.194050
16.036873,1.213881,2.774891,0.193823
14.864083,1.214334,2.698948,0.194195
13.425418,1.215826,2.597150,0.195424
11.853207,1.218535,2.472598,0.197649
10.326456,1.222362,2.334709,0.200785
8.958724,1.227074,2.192628,0.204633
10.256660,1.120929,2.327927,0.114158
13.469099,1.113680,2.600398,0.107670
17.502108,1.106276,2.862321,0.101000
22.068668,1.100021,3.094159,0.095330
26.681820,1.096308,3.283982,0.091948
30.782261,1.096003,3.426939,0.091670
33.915894,1.099121,3.523884,0.094511
35.893188,1.105013,3.580548,0.099857
36.814850,1.112816,3.605901,0.106894
36.961273,1.121788,3.609871,0.114924
36.637653,1.131424,3.601076,0.123477
36.072472,1.141439,3.585530,0.132290
35.394855,1.151698,3.566566,0.141237
34.663769,1.162145,3.545695,0.150267
33.905952,1.172744,3.523591,0.159346
33.140526,1.183450,3.500757,0.168434
32.387276,1.194204,3.477766,0.177480
31.666334,1.204937,3.455254,0.186428
30.992846,1.215589,3.433756,0.195228
30.371099,1.226119,3.413491,0.203854
29.793819,1.236517,3.394301,0.212299
29.247519,1.246792,3.375795,0.220574
28.720903,1.256945,3.357625,0.228684
28.208862,1.266962,3.339636,0.236622
27.711456,1.276812,3.321846,0.244366
27.232033,1.286451,3.304394,0.251887
26.773605,1.295833,3.287417,0.259153
26.338310,1.304913,3.271025,0.266136
25.927898,1.313646,3.255320,0.272806
25.543386,1.321991,3.240378,0.279139
25.186239,1.329906,3.226298,0.285108
24.857552,1.337352,3.213162,0.290692
24.558735,1.344292,3.201068,0.295867
24.291592,1.350687,3.190130,0.300613
24.058094,1.356502,3.180471,0.304909
23.860062,1.361704,3.172206,0.308737
23.699669,1.366264,3.165461,0.312080
23.579071,1.370156,3.160359,0.314924
23.500301,1.373359,3.157013,0.317260
23.465378,1.375857,3.155526,0.319077
23.475733,1.377639,3.155967,0.320371
23.532639,1.378700,3.158388,0.321141
23.637295,1.379041,3.162826,0.321388
23.790310,1.378670,3.169278,0.321119
23.991547,1.377601,3.177702,0.320344
24.241108,1.375857,3.188050,0.319077
24.539169,1.373464,3.200271,0.317336
24.885216,1.370459,3.214274,0.315146
25.277740,1.366887,3.229924,0.312536
25.714363,1.362797,3.247050,0.309540
26.190947,1.358245,3.265414,0.306194
26.701530,1.353287,3.284721,0.302537
27.239887,1.347977,3.304682,0.298605
27.800486,1.342370,3.325053,0.294437
28.379410,1.336517,3.345664,0.290067
28.976608,1.330460,3.366489,0.285524
29.595213,1.324227,3.387613,0.280829
30.239534,1.317848,3.409150,0.276000
30.916031,1.311340,3.431275,0.271049
31.633665,1.304719,3.454222,0.265987
32.404289,1.297991,3.478291,0.260818
33.238785,1.291167,3.503717,0.255546
34.143902,1.284265,3.530584,0.250187
35.125546,1.277310,3.558929,0.244757
36.192867,1.270344,3.588862,0.239288
37.366695,1.263430,3.620780,0.233831
38.681194,1.256682,3.655354,0.228475
40.169216,1.250304,3.693101,0.223387
41.814960,1.244678,3.733254,0.218877
43.467327,1.240440,3.772010,0.215466
44.768627,1.238480,3.801508,0.213885
45.209057,1.239748,3.811297,0.214908
44.411839,1.244850,3.793506,0.219015
42.464073,1.253608,3.748658,0.226025
39.903179,1.265011,3.686456,0.235081
37.352539,1.277638,3.620401,0.245013
35.207172,1.290191,3.561250,0.254790
33.576336,1.301838,3.513822,0.263777
32.385925,1.312255,3.477724,0.271747
31.501087,1.321468,3.450022,0.278743
30.801878,1.329653,3.427576,0.284918
30.212154,1.336995,3.408244,0.290424
29.696255,1.343623,3.391021,0.295370
29.242470,1.349613,3.375622,0.299818
28.846224,1.355016,3.361979,0.303813
28.503378,1.359871,3.350023,0.307390
28.210590,1.364202,3.339697,0.310570
27.964605,1.368030,3.330940,0.313372
27.762949,1.371367,3.323702,0.315808
27.603546,1.374220,3.317944,0.317886
27.485195,1.376590,3.313648,0.319609
27.407949,1.378466,3.310833,0.320971
27.371752,1.379841,3.309512,0.321968
27.377285,1.380700,3.309714,0.322591
27.425125,1.381033,3.311460,0.322832
27.516014,1.380830,3.314768,0.322685
27.651039,1.380086,3.319663,0.322146
27.832041,1.378801,3.326188,0.321214
28.060865,1.376990,3.334376,0.319900
28.339016,1.374681,3.344240,0.318222
28.666769,1.371929,3.355739,0.316218
29.043959,1.368810,3.368810,0.313942
29.468206,1.365434,3.383312,0.311472
29.933144,1.361945,3.398966,0.308914
30.427542,1.358523,3.415348,0.306398
30.935493,1.355366,3.431904,0.304072
31.435478,1.352692,3.447937,0.302097
31.904549,1.350706,3.462749,0.300627
32.321655,1.349581,3.475737,0.299794
32.670059,1.349452,3.486459,0.299698
32.939766,1.350400,3.494681,0.300401
33.125862,1.352465,3.500314,0.301929
33.227566,1.355649,3.503380,0.304280
33.248188,1.359921,3.504000,0.307427
33.193283,1.365225,3.502348,0.311319
33.066959,1.371501,3.498535,0.315906
32.878242,1.378663,3.492811,0.321114
32.638130,1.386616,3.485481,0.326866
32.355545,1.395272,3.476785,0.333089
32.035999,1.404556,3.466860,0.339721
31.685246,1.414398,3.455851,0.346704
31.308186,1.424742,3.443880,0.353990
30.911095,1.435524,3.431115,0.361530
30.498758,1.446697,3.417686,0.369283
30.075867,1.458216,3.403723,0.377214
29.646023,1.470041,3.389328,0.385290
29.211864,1.482141,3.374575,0.393488
28.774267,1.494489,3.359481,0.401784
28.333294,1.507066,3.344038,0.410165
27.893272,1.519837,3.328386,0.418603
27.462084,1.532750,3.312806,0.427064
27.044586,1.545766,3.297487,0.435520
26.637268,1.558886,3.282311,0.443971
26.231953,1.572134,3.266978,0.452434
25.824877,1.585511,3.251338,0.460907
25.420456,1.598974,3.235554,0.469362
25.025621,1.612464,3.219900,0.477764
24.642277,1.625946,3.204464,0.486090
24.266445,1.639419,3.189095,0.494342
23.893555,1.652888,3.173609,0.502524
23.520741,1.666351,3.157883,0.510636
23.147013,1.679791,3.141866,0.518669
22.770414,1.693186,3.125462,0.526612
22.387663,1.706514,3.108510,0.534453
21.995659,1.719740,3.090845,0.542173
21.593449,1.732803,3.072390,0.549740
21.182465,1.745620,3.053174,0.557110
20.766985,1.758086,3.033364,0.564226
20.353436,1.770077,3.013250,0.571023
19.948362,1.781479,2.993147,0.577444
19.559896,1.792166,2.973481,0.583425
19.197500,1.802007,2.954780,0.588901
18.869045,1.810881,2.937523,0.593813
